               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1245,            0.033398,                   0,            0.010133,                 0.1,           0.0029814,          0.00042723,             0.07695,            0.028302,                   0,               5e-05,               5e-05,             0.09955
                   1,             0.12373,            0.032302,                   0,            0.019967,                 0.1,           0.0049343,          0.00096635,            0.073617,            0.026014,                   0,          0.00010999,          0.00010999,             0.09901
                   2,             0.11338,            0.029188,                   0,            0.037107,                 0.1,           0.0073198,           0.0012592,            0.069676,             0.02377,                   0,          0.00016993,          0.00016993,             0.09847
                   3,             0.11239,            0.029834,                   0,            0.051772,                 0.1,           0.0087434,           0.0010479,            0.065215,            0.022118,                   0,           0.0002298,           0.0002298,             0.09793
                   4,             0.10572,            0.028361,                   0,            0.032919,                 0.1,           0.0080982,          0.00087882,            0.059817,            0.020848,                   0,          0.00028955,          0.00028955,             0.09739
                   5,              0.1005,            0.027742,                   0,            0.018945,                 0.2,           0.0093416,           0.0014408,            0.055277,             0.01952,                   0,          0.00034915,          0.00034915,            0.096849
                   6,            0.092548,            0.028986,                   0,            0.022179,                 0.2,            0.010472,           0.0035725,            0.053438,            0.018659,                   0,          0.00040856,          0.00040856,            0.096309
                   7,            0.090552,            0.027635,                   0,            0.019581,                 0.2,            0.013488,           0.0036636,            0.050968,            0.017976,                   0,          0.00046776,          0.00046776,            0.095768
                   8,            0.085334,            0.028987,                   0,            0.024494,                 0.3,            0.018405,           0.0041182,            0.047287,            0.017351,                   0,           0.0005267,           0.0005267,            0.095227
                   9,            0.087206,            0.029067,                   0,            0.025829,                 0.5,            0.023127,           0.0054601,             0.04433,            0.016856,                   0,          0.00058536,          0.00058536,            0.094685
                  10,            0.083146,            0.029805,                   0,            0.088575,                 0.2,            0.048691,           0.0097419,            0.043344,            0.016425,                   0,          0.00064369,          0.00064369,            0.094144
                  11,            0.081293,            0.028082,                   0,            0.098298,                 0.3,            0.074094,            0.015828,            0.037359,            0.016091,                   0,          0.00070167,          0.00070167,            0.093602
                  12,            0.074892,            0.030095,                   0,             0.17061,                 0.8,             0.18337,            0.045186,             0.03749,            0.015354,                   0,          0.00075926,          0.00075926,            0.093059
                  13,            0.074631,            0.028286,                   0,             0.22498,                 0.7,             0.19864,             0.06689,            0.035217,            0.015094,                   0,          0.00081642,          0.00081642,            0.092516
                  14,            0.074507,            0.027238,                   0,             0.28959,                 0.6,             0.23762,            0.090974,            0.036748,            0.014627,                   0,          0.00087313,          0.00087313,            0.091973
                  15,            0.076327,            0.028435,                   0,             0.33146,                 0.9,             0.37938,              0.1147,            0.039393,             0.01402,                   0,          0.00092935,          0.00092935,            0.091429
                  16,            0.071493,            0.027703,                   0,              0.4298,                 0.7,             0.41419,             0.16474,            0.035288,            0.013547,                   0,          0.00098505,          0.00098505,            0.090885
                  17,            0.068875,            0.028632,                   0,             0.85046,                 0.6,             0.70522,             0.25063,            0.032776,            0.013037,                   0,           0.0010402,           0.0010402,             0.09034
                  18,            0.060347,            0.023668,                   0,             0.66573,             0.59776,             0.60284,             0.31573,            0.040539,            0.012542,                   0,           0.0010948,           0.0010948,            0.089795
                  19,            0.067047,            0.026316,                   0,             0.72583,                 0.6,             0.62481,             0.31551,             0.03219,            0.012402,                   0,           0.0011487,           0.0011487,            0.089249
                  20,            0.065898,            0.027561,                   0,             0.49904,              0.6975,             0.58062,             0.20104,            0.034043,            0.012361,                   0,            0.001202,            0.001202,            0.088702
                  21,            0.065092,            0.027557,                   0,             0.69571,                 0.7,             0.72142,             0.17824,            0.031623,            0.012448,                   0,           0.0012546,           0.0012546,            0.088155
                  22,            0.063458,            0.025259,                   0,             0.66639,                 0.6,             0.57326,              0.2471,             0.03187,            0.012339,                   0,           0.0013065,           0.0013065,            0.087607
                  23,            0.062726,            0.024624,                   0,              0.8749,             0.69945,             0.78557,             0.26983,            0.032584,            0.011225,                   0,           0.0013577,           0.0013577,            0.087058
                  24,            0.063042,            0.024936,                   0,             0.66611,             0.59866,             0.66358,             0.22139,            0.033067,            0.010994,                   0,           0.0014081,           0.0014081,            0.086508
                  25,            0.057711,            0.025811,                   0,             0.85695,                 0.6,              0.7492,               0.243,            0.033015,            0.010673,                   0,           0.0014578,           0.0014578,            0.085958
                  26,            0.061406,            0.024033,                   0,             0.99942,                 0.6,             0.70072,             0.28044,            0.032567,            0.010267,                   0,           0.0015066,           0.0015066,            0.085407
                  27,            0.055933,             0.02314,                   0,             0.85512,                 0.6,             0.69978,             0.28111,            0.036398,           0.0097946,                   0,           0.0015545,           0.0015545,            0.084855
                  28,            0.060387,            0.025129,                   0,             0.53768,                 0.7,             0.55797,             0.17939,            0.036843,            0.009471,                   0,           0.0016016,           0.0016016,            0.084302
                  29,            0.055793,            0.022599,                   0,             0.54539,             0.59986,             0.56588,             0.22383,            0.031713,           0.0090079,                   0,           0.0016478,           0.0016478,            0.083748
                  30,            0.053602,            0.022823,                   0,             0.62461,                 0.5,             0.54812,             0.28705,            0.033056,           0.0084973,                   0,            0.001693,            0.001693,            0.083193
                  31,            0.054615,            0.021741,                   0,             0.83237,                 0.5,             0.62142,             0.33027,            0.031453,           0.0082863,                   0,           0.0017373,           0.0017373,            0.082637
                  32,            0.054861,            0.023663,                   0,             0.83329,             0.49987,             0.58909,             0.27885,             0.03324,           0.0082799,                   0,           0.0017807,           0.0017807,            0.082081
                  33,            0.055687,            0.022814,                   0,              0.4664,             0.69931,             0.53744,             0.28554,             0.03567,           0.0079221,                   0,            0.001823,            0.001823,            0.081523
                  34,            0.057124,            0.025307,                   0,              0.8331,             0.49929,             0.61852,               0.293,            0.036261,           0.0079448,                   0,           0.0018643,           0.0018643,            0.080964
                  35,            0.058541,            0.021576,                   0,              0.8556,                 0.6,             0.70497,             0.38485,            0.032439,           0.0077598,                   0,           0.0019046,           0.0019046,            0.080405
                  36,            0.058523,            0.021934,                   0,             0.85709,                 0.6,             0.69242,             0.35076,            0.033893,           0.0072602,                   0,           0.0019438,           0.0019438,            0.079844
                  37,            0.048446,            0.021178,                   0,             0.62473,                 0.5,             0.54277,             0.25098,             0.02905,           0.0074651,                   0,            0.001982,            0.001982,            0.079282
                  38,            0.051602,            0.022224,                   0,                   1,              0.5998,             0.75649,             0.32074,            0.030034,           0.0074281,                   0,            0.002019,            0.002019,            0.078719
                  39,            0.053432,            0.021225,                   0,                   1,             0.49941,             0.70556,              0.1524,            0.037171,            0.007236,                   0,            0.002055,            0.002055,            0.078155
                  40,            0.051609,            0.021398,                   0,             0.99799,                 0.5,             0.67205,             0.35492,            0.029656,           0.0072422,                   0,           0.0020898,           0.0020898,             0.07759
                  41,            0.047648,            0.019304,                   0,             0.85674,             0.59832,             0.73465,             0.34251,             0.02809,            0.007198,                   0,           0.0021234,           0.0021234,            0.077023
                  42,             0.04836,             0.01849,                   0,             0.44937,                 0.9,             0.58309,             0.18521,             0.03103,           0.0072296,                   0,           0.0021559,           0.0021559,            0.076456
                  43,            0.047271,            0.019651,                   0,             0.87473,             0.69849,              0.7793,             0.34855,            0.027464,           0.0072047,                   0,           0.0021871,           0.0021871,            0.075887
                  44,            0.054168,            0.022261,                   0,             0.87496,             0.69977,              0.7376,             0.21887,             0.03074,           0.0074548,                   0,           0.0022172,           0.0022172,            0.075317
                  45,            0.045204,            0.020508,                   0,             0.53303,              0.7991,             0.66544,             0.16818,             0.03337,           0.0071352,                   0,           0.0022461,           0.0022461,            0.074746
                  46,            0.049769,            0.020903,                   0,             0.46618,                 0.7,              0.6082,             0.18585,             0.03274,           0.0067354,                   0,           0.0022738,           0.0022738,            0.074174
                  47,            0.052912,            0.019778,                   0,             0.49941,                 0.9,             0.68946,             0.20573,            0.034504,             0.00663,                   0,           0.0023002,           0.0023002,              0.0736
