               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   1,            0.080832,            0.026254,                   0,           0.0029862,                 0.8,            0.011465,           0.0013066,            0.057295,           0.0090064,                   0,          0.00010999,          0.00010999,             0.09901
                   2,            0.073139,            0.023838,                   0,           0.0026667,                 0.8,            0.011584,             0.00175,            0.057416,           0.0090537,                   0,          0.00016993,          0.00016993,             0.09847
                   3,            0.077273,             0.02549,                   0,           0.0026667,                 0.8,            0.010151,           0.0014281,            0.056999,           0.0091038,                   0,           0.0002298,           0.0002298,             0.09793
                   4,            0.074257,             0.02509,                   0,           0.0026667,                 0.8,           0.0065465,           0.0010886,            0.056707,           0.0091119,                   0,          0.00028955,          0.00028955,             0.09739
                   5,            0.068625,            0.029448,                   0,           0.0026667,                 0.8,           0.0074145,           0.0017286,            0.057434,           0.0088568,                   0,          0.00034915,          0.00034915,            0.096849
                   6,            0.072938,             0.02581,                   0,           0.0026667,                 0.8,           0.0032248,          0.00069084,            0.058965,           0.0086796,                   0,          0.00040856,          0.00040856,            0.096309
                   7,            0.069148,            0.027971,                   0,           0.0016667,                 0.5,           0.0013862,          0.00024546,            0.060682,           0.0084273,                   0,          0.00046776,          0.00046776,            0.095768
                   8,            0.066863,            0.024739,                   0,           0.0016667,                 0.5,           0.0013074,          0.00029214,            0.060895,           0.0079405,                   0,           0.0005267,           0.0005267,            0.095227
                   9,            0.067993,             0.02306,                   0,           0.0094621,                 0.1,           0.0051501,          0.00071603,            0.054919,            0.008501,                   0,          0.00058536,          0.00058536,            0.094685
                  10,            0.066359,            0.025494,                   0,            0.013361,                 0.2,           0.0055805,          0.00098462,            0.050594,           0.0092811,                   0,          0.00064369,          0.00064369,            0.094144
                  11,            0.055354,            0.021692,                   0,            0.073998,                 0.3,            0.031094,           0.0044156,             0.04773,           0.0093394,                   0,          0.00070167,          0.00070167,            0.093602
                  12,            0.062755,            0.025388,                   0,             0.32636,                 0.3,             0.19534,            0.039863,            0.044027,           0.0093229,                   0,          0.00075926,          0.00075926,            0.093059
                  13,            0.058764,            0.022146,                   0,             0.74875,             0.29849,             0.32068,            0.088173,            0.037996,           0.0083976,                   0,          0.00081642,          0.00081642,            0.092516
                  14,              0.0582,            0.021738,                   0,              0.6228,                 0.5,             0.50111,             0.13223,            0.030466,           0.0081608,                   0,          0.00087313,          0.00087313,            0.091973
                  15,            0.057798,            0.027097,                   0,             0.70367,                 0.5,             0.49389,              0.1715,            0.027925,           0.0077193,                   0,          0.00092935,          0.00092935,            0.091429
                  16,            0.056402,            0.023421,                   0,             0.79955,              0.3991,             0.45374,            0.094776,            0.037406,           0.0079922,                   0,          0.00098505,          0.00098505,            0.090885
                  17,            0.059275,            0.024866,                   0,             0.74844,                 0.6,             0.54369,             0.13783,            0.038029,           0.0080916,                   0,           0.0010402,           0.0010402,             0.09034
                  18,            0.057604,            0.023152,                   0,             0.77766,             0.69957,             0.69598,             0.12394,            0.026232,            0.008871,                   0,           0.0010948,           0.0010948,            0.089795
                  19,             0.05537,            0.022011,                   0,             0.85704,             0.59957,             0.70578,             0.14778,            0.030741,           0.0083535,                   0,           0.0011487,           0.0011487,            0.089249
                  20,            0.058473,            0.021974,                   0,             0.58298,             0.69905,             0.51846,             0.12738,            0.028308,           0.0079393,                   0,            0.001202,            0.001202,            0.088702
